Gene Set,Ratio of Protein In Gene Set,Number of Protein in Gene Set,Protein From Network,P-value,FDR,Nodes
Posttranslational regulation of adherens junction stability and dissassembly(N),0.0044,48,1,0.3882,0.3882,PTPN1
Metabolism of nucleotides(R),0.0044,48,1,0.3882,0.3882,TYMP
t cell receptor signaling pathway(B),0.0044,48,1,0.3882,0.3882,PTPN11
Osteoclast differentiation(K),0.0121,132,2,0.3909,0.3909,"SIRPB1,LILRA3"
Signaling by FGFR1(R),0.0045,49,1,0.3945,0.3945,PTPN11
Validated transcriptional targets of TAp63 isoforms(N),0.0045,49,1,0.3945,0.3945,VDR
Intestinal immune network for IgA production(K),0.0045,49,1,0.3945,0.3945,CXCR4
Hepatitis C(K),0.0122,133,2,0.3945,0.3945,"IKBKE,PPP2R2B"
RET signaling(R),0.0204,222,3,0.3961,0.3961,"JAK3,IL2RG,PTPN11"
Ovarian steroidogenesis(K),0.0046,50,1,0.4006,0.4006,ALOX5
Mitochondrial biogenesis(R),0.0048,52,1,0.4128,0.4128,PPARGC1B
Signaling events mediated by Stem cell factor receptor (c-Kit)(N),0.0048,52,1,0.4128,0.4128,PTPN11
Signaling events mediated by PTP1B(N),0.0048,52,1,0.4128,0.4128,PTPN1
Insulin signaling pathway(K),0.0129,140,2,0.4194,0.4194,"FBP1,PTPN1"
Thromboxane A2 receptor signaling(N),0.005,54,1,0.4248,0.4248,PTGDR
Metabolism of carbohydrates(R),0.0214,233,3,0.4261,0.4261,"ST3GAL3,SLC2A5,FBP1"
Transport of inorganic cations/anions and amino acids/oligopeptides(R),0.0051,55,1,0.4306,0.4306,SLC8A1
Endothelin signaling pathway(P),0.0051,55,1,0.4306,0.4306,ITPR1
Phospholipase D signaling pathway(K),0.0133,144,2,0.4334,0.4334,"ARF1,PTPN11"
Non-small cell lung cancer(K),0.0052,56,1,0.4364,0.4364,EML4
Signaling by Rho GTPases(R),0.0304,330,4,0.4365,0.4365,"ARHGAP22,ARHGAP9,GMIP,FGD2"
Cell adhesion molecules (CAMs)(K),0.0133,145,2,0.4369,0.4369,"ITGB2,ITGAL"
Acute myeloid leukemia(K),0.0052,57,1,0.4422,0.4422,PIM2
Protein ubiquitination(R),0.0053,58,1,0.4479,0.4479,UBE2C
Adrenergic signaling in cardiomyocytes(K),0.0137,149,2,0.4507,0.4507,"SLC8A1,PPP2R2B"
B cell activation(P),0.0054,59,1,0.4535,0.4535,ITPR1
Long-term depression(K),0.0055,60,1,0.4591,0.4591,ITPR1
Neurotrophic factor-mediated Trk receptor signaling(N),0.0055,60,1,0.4591,0.4591,PTPN11
GPCR downstream signaling(R),0.0842,915,10,0.4601,0.4601,"PTGDR,ITPR1,GRK6,JAK3,CCR2,CXCR4,IL2RG,FGD2,CCL19,AGT"
Signaling by PTK6(R),0.0056,61,1,0.4646,0.4646,PTPN1
Hippo signaling pathway(K),0.0142,154,2,0.4676,0.4676,"ITGB2,PPP2R2B"
Arachidonic acid metabolism(K),0.0057,62,1,0.4701,0.4701,ALOX5
Opioid Signalling(R),0.0057,62,1,0.4701,0.4701,ITPR1
LPA receptor mediated events(N),0.0058,63,1,0.4755,0.4755,MMP9
Synaptic vesicle cycle(K),0.0058,63,1,0.4755,0.4755,TCIRG1
Ras Pathway(P),0.0058,63,1,0.4755,0.4755,RPS6KA1
Cytosolic DNA-sensing pathway(K),0.0059,64,1,0.4809,0.4809,IKBKE
mTOR signaling pathway(N),0.0059,64,1,0.4809,0.4809,RPS6KA1
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R),0.0235,255,3,0.4845,0.4845,"JAK3,IL2RG,PTPN11"
BCR signaling pathway(N),0.006,65,1,0.4862,0.4862,DAPP1
Central carbon metabolism in cancer(K),0.0062,67,1,0.4967,0.4967,SLC16A3
Renal cell carcinoma(K),0.0062,67,1,0.4967,0.4967,PTPN11
Glycolysis / Gluconeogenesis(K),0.0062,67,1,0.4967,0.4967,FBP1
Mitotic Metaphase and Anaphase(R),0.0151,164,2,0.5006,0.5006,"PTTG1,UBE2C"
Fc epsilon RI signaling pathway(K),0.0064,70,1,0.5119,0.5119,ALOX5
RNA polymerase II transcribes snRNA genes(R),0.0064,70,1,0.5119,0.5119,SNAPC4
RIG-I-like receptor signaling pathway(K),0.0064,70,1,0.5119,0.5119,IKBKE
Adipocytokine signaling pathway(K),0.0064,70,1,0.5119,0.5119,PTPN11
Inositol phosphate metabolism(K),0.0065,71,1,0.5169,0.5169,INPP4A
Bile secretion(K),0.0065,71,1,0.5169,0.5169,ABCC3
Signaling by FGFR2(R),0.0065,71,1,0.5169,0.5169,PTPN11
Adherens junction(K),0.0066,72,1,0.5219,0.5219,PTPN1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)(K),0.0066,72,1,0.5219,0.5219,SLC8A1
Alzheimer's disease(K),0.0157,171,2,0.5229,0.5229,"ITPR1,ATP2A3"
B cell receptor signaling pathway(K),0.0067,73,1,0.5268,0.5268,DAPP1
Chronic myeloid leukemia(K),0.0067,73,1,0.5268,0.5268,PTPN11
Thyroid hormone synthesis(K),0.0068,74,1,0.5316,0.5316,ITPR1
Mitotic G2-G2/M phases(R),0.016,174,2,0.5323,0.5323,"TPX2,FOXM1"
O-linked glycosylation(R),0.0069,75,1,0.5364,0.5364,ST3GAL3
Platinum drug resistance(K),0.0069,75,1,0.5364,0.5364,TOP2A
Gastric acid secretion(K),0.0069,75,1,0.5364,0.5364,ITPR1
p73 transcription factor network(N),0.0069,75,1,0.5364,0.5364,SERPINA1
Axon guidance(K),0.0163,177,2,0.5415,0.5415,"CXCR4,PTPN11"
Antigen processing and presentation(K),0.0071,77,1,0.5458,0.5458,CIITA
Regulation of nuclear SMAD2/3 signaling(N),0.0071,77,1,0.5458,0.5458,VDR
RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways(R),0.0071,77,1,0.5458,0.5458,IKBKE
Cardiac muscle contraction(K),0.0072,78,1,0.5505,0.5505,SLC8A1
Bacterial invasion of epithelial cells(K),0.0072,78,1,0.5505,0.5505,FN1
Transcriptional misregulation in cancer(K),0.0166,180,2,0.5506,0.5506,"MMP9,ETV6"
Regulation of nuclear beta catenin signaling and target gene transcription(N),0.0074,80,1,0.5596,0.5596,MMP9
T cell activation(P),0.0075,81,1,0.5642,0.5642,ITPR1
Signaling by VEGF(R),0.0264,287,3,0.5642,0.5642,"ITPR1,JAK3,IL2RG"
C-MYB transcription factor network(N),0.0075,82,1,0.5686,0.5686,LYZ
Aldosterone synthesis and secretion(K),0.0075,82,1,0.5686,0.5686,ITPR1
L1CAM interactions(R),0.0075,82,1,0.5686,0.5686,RPS6KA1
Peroxisome(K),0.0076,83,1,0.573,0.573,ABCD3
Hypertrophic cardiomyopathy (HCM)(K),0.0076,83,1,0.573,0.573,SLC8A1
Small cell lung cancer(K),0.0079,86,1,0.586,0.586,FN1
Potassium Channels(R),0.008,87,1,0.5903,0.5903,KCNAB2
"Fatty acid, triacylglycerol, and ketone body metabolism(R)",0.0179,195,2,0.5942,0.5942,"PPARGC1B,AGT"
Gap junction(K),0.0081,88,1,0.5945,0.5945,ITPR1
"RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription(R)",0.0081,88,1,0.5945,0.5945,SNAPC4
MHC class II antigen presentation(R),0.0082,89,1,0.5986,0.5986,ARF1
EPH-Ephrin signaling(R),0.0082,89,1,0.5986,0.5986,MMP9
Dilated cardiomyopathy(K),0.0083,90,1,0.6027,0.6027,SLC8A1
Protein digestion and absorption(K),0.0083,90,1,0.6027,0.6027,SLC8A1
mRNA surveillance pathway(K),0.0084,91,1,0.6068,0.6068,PPP2R2B
Morphine addiction(K),0.0084,91,1,0.6068,0.6068,GRK6
RAF/MAP kinase cascade(R),0.0185,201,2,0.6108,0.6108,"JAK3,IL2RG"
GnRH signaling pathway(K),0.0085,92,1,0.6108,0.6108,ITPR1
Integration of energy metabolism(R),0.0085,92,1,0.6108,0.6108,ITPR1
Epstein-Barr virus infection(K),0.0188,204,2,0.6188,0.6188,"ITGAL,JAK3"
Circadian entrainment(K),0.0088,96,1,0.6265,0.6265,ITPR1
Endocrine resistance(K),0.009,98,1,0.6342,0.6342,MMP9
Progesterone-mediated oocyte maturation(K),0.009,98,1,0.6342,0.6342,RPS6KA1
Cadherin signaling pathway(P),0.0092,100,1,0.6416,0.6416,CELSR1
TNFR2 non-canonical NF-kB pathway(R),0.0093,101,1,0.6453,0.6453,LTB
AGE-RAGE signaling pathway in diabetic complications(K),0.0093,101,1,0.6453,0.6453,FN1
Retrograde endocannabinoid signaling(K),0.0093,101,1,0.6453,0.6453,ITPR1
Asparagine N-linked glycosylation(R),0.0202,219,2,0.6574,0.6574,"ST3GAL3,SERPINA1"
Pyrimidine metabolism(K),0.0097,105,1,0.6596,0.6596,TYMP
SUMOylation(R),0.0098,106,1,0.6631,0.6631,TOP2A
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway(P),0.0099,108,1,0.67,0.67,ITPR1
Deubiquitination(R),0.0208,226,2,0.6742,0.6742,"NLRP3,TNIP3"
TNF signaling pathway(K),0.0101,110,1,0.6767,0.6767,MMP9
Alzheimer disease-presenilin pathway(P),0.0102,111,1,0.6801,0.6801,MMP9
Cholinergic synapse(K),0.0102,111,1,0.6801,0.6801,ITPR1
Beta-catenin independent WNT signaling(R),0.0103,112,1,0.6833,0.6833,ITPR1
NCAM signaling for neurite out-growth(R),0.0213,231,2,0.6859,0.6859,"JAK3,IL2RG"
Glutamatergic synapse(K),0.0105,114,1,0.6898,0.6898,ITPR1
Carbon metabolism(K),0.0105,114,1,0.6898,0.6898,FBP1
ER to Golgi Anterograde Transport(R),0.0108,117,1,0.6993,0.6993,SERPINA1
Sphingolipid signaling pathway(K),0.011,120,1,0.7085,0.7085,PPP2R2B
Huntington disease(P),0.0111,121,1,0.7114,0.7114,ARF1
Vascular smooth muscle contraction(K),0.0111,121,1,0.7114,0.7114,ITPR1
Platelet activation(K),0.0112,122,1,0.7144,0.7144,ITPR1
Cell cycle(K),0.0114,124,1,0.7203,0.7203,PTTG1
Mitotic G1-G1/S phases(R),0.012,130,1,0.7371,0.7371,TOP2A
MAPK signaling pathway(K),0.0235,255,2,0.7372,0.7372,"RPS6KA1,PTPN7"
Oxidative phosphorylation(K),0.0122,133,1,0.7451,0.7451,TCIRG1
FoxO signaling pathway(K),0.0123,134,1,0.7477,0.7477,IL7R
Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell(R),0.0123,134,1,0.7477,0.7477,RPS6KA1
Tight junction(K),0.0126,137,1,0.7554,0.7554,PPP2R2B
Ubiquitin mediated proteolysis(K),0.0126,137,1,0.7554,0.7554,UBE2C
Wnt signaling pathway(P),0.0247,268,2,0.7619,0.7619,"CELSR1,ITPR1"
Apoptosis(K),0.0129,140,1,0.7629,0.7629,ITPR1
Intra-Golgi and retrograde Golgi-to-ER traffic(R),0.013,141,1,0.7653,0.7653,ARF1
Signaling pathways regulating pluripotency of stem cells(K),0.0131,142,1,0.7678,0.7678,JAK3
Pathways in cancer(K),0.0365,397,3,0.7753,0.7753,"FN1,MMP9,CXCR4"
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P),0.0135,147,1,0.7795,0.7795,GRK6
mTOR signaling pathway(K),0.0142,154,1,0.7949,0.7949,RPS6KA1
Oxytocin signaling pathway(K),0.0146,159,1,0.8053,0.8053,ITPR1
The citric acid (TCA) cycle and respiratory electron transport(R),0.0148,161,1,0.8093,0.8093,SLC16A3
Cell Cycle Checkpoints(R),0.0151,164,1,0.8151,0.8151,UBE2C
Protein processing in endoplasmic reticulum(K),0.0152,165,1,0.817,0.817,DERL3
Class I MHC mediated antigen processing & presentation(R),0.0174,189,1,0.8574,0.8574,TLR2
Huntington's disease(K),0.0178,193,1,0.8632,0.8632,ITPR1
Viral carcinogenesis(K),0.0187,203,1,0.8767,0.8767,JAK3
Generic Transcription Pathway(R),0.0455,494,3,0.8849,0.8849,"FANCD2,VDR,TPX2"
Ras signaling pathway(K),0.0211,229,1,0.906,0.906,PTPN11
Neuroactive ligand-receptor interaction(K),0.0256,278,1,0.9437,0.9437,PTGDR
MicroRNAs in cancer(K),0.0275,299,1,0.9548,0.9548,MMP9
Olfactory transduction(K),0.0385,418,1,0.9871,0.9871,SLC8A1
Metabolic pathways(K),0.1165,1266,6,0.9919,0.9919,"INPP4A,ST3GAL3,TCIRG1,FBP1,TYMP,ALOX5"
