Gene Set,Ratio of Protein In Gene Set,Number of Protein in Gene Set,Protein From Network,P-value,FDR,Nodes
PDGFR-beta signaling pathway(N),0.011,120,4,0.1728,0.2679,"FOS,HCK,SLA,FGR"
Sphingolipid signaling pathway(K),0.011,120,4,0.1728,0.2679,"PRKCB,PIK3R5,RAC2,FCER1G"
Signaling by ERBB4(R),0.0039,42,2,0.1759,0.2679,"EREG,HBEGF"
FOXA1 transcription factor network(N),0.0039,42,2,0.1759,0.2679,"SERPINA1,FOS"
Plasma membrane estrogen receptor signaling(N),0.0039,42,2,0.1759,0.2679,"HBEGF,MMP9"
Signaling by ERBB2(R),0.004,43,2,0.1823,0.2679,"EREG,HBEGF"
il-2 receptor beta chain in t cell activation(B),0.004,44,2,0.1888,0.2679,"FOS,SOCS3"
attenuation of gpcr signaling(B),0.0011,12,1,0.1947,0.2679,PRKCB
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism(R)",0.0011,12,1,0.1947,0.2679,SLC7A5
trka receptor signaling pathway(B),0.0011,12,1,0.1947,0.2679,PRKCB
repression of pain sensation by the transcriptional regulator dream(B),0.0011,12,1,0.1947,0.2679,FOS
il-10 anti-inflammatory signaling pathway(B),0.0011,12,1,0.1947,0.2679,IL10RA
erythropoietin mediated neuroprotection through nf-kb(B),0.0011,12,1,0.1947,0.2679,SOD2
Carbohydrate digestion and absorption(K),0.0042,46,2,0.2018,0.2679,"PRKCB,PIK3R5"
Small cell lung cancer(K),0.0079,86,3,0.2036,0.2679,"PIK3R5,FN1,PTGS2"
Integrins in angiogenesis(N),0.0043,47,2,0.2083,0.2679,"FN1,SPP1"
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism(R),0.0012,13,1,0.2091,0.2679,ACSL1
fibrinolysis pathway(B),0.0012,13,1,0.2091,0.2679,PLAT
Metabolism of Angiotensinogen to Angiotensins(R),0.0012,13,1,0.2091,0.2679,MME
Platelet Adhesion to exposed collagen(R),0.0012,13,1,0.2091,0.2679,FCER1G
Fatty acid biosynthesis(K),0.0012,13,1,0.2091,0.2679,ACSL1
Advanced glycosylation endproduct receptor signaling(R),0.0012,13,1,0.2091,0.2679,S100A12
Post-translational modification: synthesis of GPI-anchored proteins(R),0.0081,88,3,0.2129,0.2679,"CD109,LYPD3,PLAUR"
Type II diabetes mellitus(K),0.0044,48,2,0.2149,0.2679,"PIK3R5,SOCS3"
Axon guidance(K),0.0163,177,5,0.2169,0.2679,"PIK3R5,RAC2,CXCR4,PLXNC1,SSH2"
IL5-mediated signaling events(N),0.0013,14,1,0.2233,0.2679,CSF2RB
Ovarian steroidogenesis(K),0.0046,50,2,0.2281,0.2679,"PTGS2,ALOX5"
Angiopoietin receptor Tie2-mediated signaling(N),0.0046,50,2,0.2281,0.2679,"FN1,ITGA5"
calcium signaling by hbx of hepatitis b virus(B),0.0014,15,1,0.2372,0.2679,FOS
Arf6 downstream pathway(N),0.0014,15,1,0.2372,0.2679,PLAUR
aspirin blocks signaling pathway involved in platelet activation(B),0.0014,15,1,0.2372,0.2679,PRKCB
Interferon-gamma signaling pathway(P),0.0014,15,1,0.2372,0.2679,SOCS3
Gastrin-CREB signalling pathway via PKC and MAPK(R),0.0346,376,9,0.2402,0.2679,"PROK2,EREG,FPR2,HBEGF,GPR65,RGS2,CSF2RB,RASGRP4,RGS18"
Mineral absorption(K),0.0048,52,2,0.2414,0.2679,"SLC34A2,SLC11A1"
Herpes simplex infection(K),0.017,185,5,0.2431,0.2679,"PILRA,FOS,IL1B,TLR2,SOCS3"
bone remodeling(B),0.0015,16,1,0.2508,0.2679,FOS
nerve growth factor pathway (ngf)(B),0.0015,16,1,0.2508,0.2679,FOS
the igf-1 receptor and longevity(B),0.0015,16,1,0.2508,0.2679,SOD2
role of mal in rho-mediated activation of srf(B),0.0015,16,1,0.2508,0.2679,MAL
Class I MHC mediated antigen processing & presentation(R),0.0174,189,5,0.2565,0.2679,"CD14,TLR4,TLR2,NCF2,NCF4"
Transport of inorganic cations/anions and amino acids/oligopeptides(R),0.0051,55,2,0.2613,0.2679,"SLC34A2,SLC7A5"
Endothelin signaling pathway(P),0.0051,55,2,0.2613,0.2679,"PRKCB,PTGS2"
Pathogenic Escherichia coli infection(K),0.0051,55,2,0.2613,0.2679,"CD14,TLR4"
Signaling by VEGF(R),0.0264,287,7,0.2624,0.2679,"PRKCB,EREG,HBEGF,NCF2,NCF4,CSF2RB,RASGRP4"
Syndecan-1-mediated signaling events(N),0.0016,17,1,0.2642,0.2679,MMP9
gata3 participate in activating the th2 cytokine genes expression(B),0.0016,17,1,0.2642,0.2679,JUNB
nitric oxide signaling pathway(B),0.0016,17,1,0.2642,0.2679,PRKCB
Inflammatory mediator regulation of TRP channels(K),0.0091,99,3,0.2653,0.2679,"PRKCB,PIK3R5,IL1B"
Regulation of lipolysis in adipocytes(K),0.0052,56,2,0.2679,0.2679,"PIK3R5,PTGS2"
Non-small cell lung cancer(K),0.0052,56,2,0.2679,0.2679,"PRKCB,PIK3R5"
Acute myeloid leukemia(K),0.0052,57,2,0.2746,0.2746,"SPI1,PIK3R5"
S1P1 pathway(N),0.0017,18,1,0.2774,0.2774,PTGS2
mets affect on macrophage differentiation(B),0.0017,18,1,0.2774,0.2774,FOS
"Synthesis, secretion, and deacylation of Ghrelin(R)",0.0017,18,1,0.2774,0.2774,PLA2G7
Viral myocarditis(K),0.0054,59,2,0.2879,0.2879,"RAC2,ITGB2"
Cellular roles of Anthrax toxin(N),0.0017,19,1,0.2904,0.2904,IL1B
sprouty regulation of tyrosine kinase signals(B),0.0017,19,1,0.2904,0.2904,PTPRC
cystic fibrosis transmembrane conductance regulator (cftr) and beta 2 adrenergic receptor (b2ar) pathway(B),0.0017,19,1,0.2904,0.2904,CCL4
Validated targets of C-MYC transcriptional repression(N),0.0055,60,2,0.2945,0.2945,"SPI1,SLC11A1"
MicroRNAs in cancer(K),0.0275,299,7,0.2959,0.2959,"PRKCB,ZEB2,PTGS2,PLAU,MMP9,ITGA5,THBS1"
pkc-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase(B),0.0018,20,1,0.3031,0.3031,PRKCB
regulation of bad phosphorylation(B),0.0018,20,1,0.3031,0.3031,CSF2RB
Endothelins(N),0.0057,62,2,0.3078,0.3078,"PRKCB,FOS"
Epstein-Barr virus infection(K),0.0188,204,5,0.3082,0.3082,"SPI1,PIK3R5,IL10RA,HSPA6,FGR"
Insulin resistance(K),0.01,109,3,0.3141,0.3141,"PRKCB,PIK3R5,SOCS3"
egf signaling pathway(B),0.0019,21,1,0.3155,0.3155,PRKCB
growth hormone signaling pathway(B),0.0019,21,1,0.3155,0.3155,PRKCB
igf-1 signaling pathway(B),0.0019,21,1,0.3155,0.3155,FOS
PDGFR-alpha signaling pathway(N),0.0019,21,1,0.3155,0.3155,FOS
nf-kb signaling pathway(B),0.0019,21,1,0.3155,0.3155,TLR4
Factors involved in megakaryocyte development and platelet production(R),0.0101,110,3,0.319,0.319,"NFE2,HBB,DOCK11"
Cytosolic DNA-sensing pathway(K),0.0059,64,2,0.321,0.321,"IL1B,CCL4"
Cholinergic synapse(K),0.0102,111,3,0.3239,0.3239,"PRKCB,PIK3R5,FOS"
Signaling by Leptin(R),0.0192,209,5,0.3258,0.3258,"EREG,HBEGF,CSF2RB,RASGRP4,SOCS3"
inhibition of cellular proliferation by gleevec(B),0.002,22,1,0.3278,0.3278,FOS
ccr3 signaling in eosinophils(B),0.002,22,1,0.3278,0.3278,PRKCB
signaling pathway from g-protein families(B),0.002,22,1,0.3278,0.3278,PRKCB
TRAIL signaling pathway(N),0.002,22,1,0.3278,0.3278,TNFRSF10C
Endocytosis(K),0.0239,260,6,0.3291,0.3291,"WIPF1,CXCR4,CXCR1,CXCR2,HSPA6,CYTH4"
Glioma(K),0.0061,66,2,0.3341,0.3341,"PRKCB,PIK3R5"
Pancreatic cancer(K),0.0061,66,2,0.3341,0.3341,"PIK3R5,RAC2"
links between pyk2 and map kinases(B),0.0021,23,1,0.3398,0.3398,PRKCB
Renin-angiotensin system(K),0.0021,23,1,0.3398,0.3398,MME
regulation of eif-4e and p70s6 kinase(B),0.0021,23,1,0.3398,0.3398,PRKCB
role of mef2d in t-cell apoptosis(B),0.0021,23,1,0.3398,0.3398,PRKCB
Signaling events mediated by PRL(N),0.0021,23,1,0.3398,0.3398,EGR1
Circadian Clock(R),0.0062,67,2,0.3406,0.3406,"NAMPT,NFIL3"
Central carbon metabolism in cancer(K),0.0062,67,2,0.3406,0.3406,"PIK3R5,SLC7A5"
Regulation of Telomerase(N),0.0063,68,2,0.3472,0.3472,"FOS,MXD1"
corticosteroids and cardioprotection(B),0.0022,24,1,0.3517,0.3517,CCL4
transcription factor creb and its extracellular signals(B),0.0022,24,1,0.3517,0.3517,PRKCB
Growth hormone receptor signaling(R),0.0022,24,1,0.3517,0.3517,SOCS3
Nongenotropic Androgen signaling(N),0.0023,25,1,0.3633,0.3633,FOS
ras-independent pathway in nk cell-mediated cytotoxicity(B),0.0023,25,1,0.3633,0.3633,FCGR3A
S1P3 pathway(N),0.0023,25,1,0.3633,0.3633,CXCR4
DAP12 interactions(R),0.0297,323,7,0.3653,0.3653,"EREG,HBEGF,TYROBP,CSF2RB,RASGRP4,TREM1,LCP2"
PPAR signaling pathway(K),0.0066,72,2,0.373,0.373,"ACSL1,OLR1"
Arrhythmogenic right ventricular cardiomyopathy (ARVC)(K),0.0066,72,2,0.373,0.373,"DSC2,ITGA5"
S1P2 pathway(N),0.0024,26,1,0.3747,0.3747,FOS
RXR and RAR heterodimerization with other nuclear receptor(N),0.0024,26,1,0.3747,0.3747,ABCA1
PI3 kinase pathway(P),0.0024,26,1,0.3747,0.3747,PIK3R5
IL27-mediated signaling events(N),0.0024,26,1,0.3747,0.3747,IL1B
Apoptosis signaling pathway(P),0.0024,26,1,0.3747,0.3747,PRKCB
Metabolism of water-soluble vitamins and cofactors(R),0.0067,73,2,0.3794,0.3794,"NAMPT,PTGS2"
Signaling by PDGF(R),0.0302,328,7,0.38,0.38,"EREG,HBEGF,SPP1,PLAT,CSF2RB,RASGRP4,THBS1"
TCR signaling(R),0.0113,123,3,0.3826,0.3826,"PTPRC,LCP2,FYB"
Signaling by Rho GTPases(R),0.0304,330,7,0.3858,0.3858,"WIPF1,PREX1,RAC2,FLNA,NCF2,NCF4,FMNL1"
thrombin signaling and protease-activated receptors(B),0.0025,27,1,0.3859,0.3859,PRKCB
VEGFR1 specific signals(N),0.0025,27,1,0.3859,0.3859,PRKCB
Binding and Uptake of Ligands by Scavenger Receptors(R),0.0114,124,3,0.3874,0.3874,"SPARC,HBB,HBA1"
Gastric acid secretion(K),0.0069,75,2,0.3922,0.3922,"PRKCB,HRH2"
p73 transcription factor network(N),0.0069,75,2,0.3922,0.3922,"PLK3,SERPINA1"
Lissencephaly gene (LIS1) in neuronal migration and development(N),0.0026,28,1,0.3969,0.3969,PLA2G7
vegf hypoxia and angiogenesis(B),0.0026,28,1,0.3969,0.3969,PRKCB
adp-ribosylation factor(B),0.0026,28,1,0.3969,0.3969,NCF2
ErbB4 signaling events(N),0.0026,28,1,0.3969,0.3969,HBEGF
Complement cascade(R),0.0117,127,3,0.4019,0.4019,"C3AR1,C5AR1,CR1"
Nicotinate and nicotinamide metabolism(K),0.0027,29,1,0.4077,0.4077,NAMPT
Hippo signaling pathway -multiple species(K),0.0027,29,1,0.4077,0.4077,RASSF2
Regulation of CDC42 activity(N),0.0028,30,1,0.4183,0.4183,DOCK11
Asthma(K),0.0029,31,1,0.4287,0.4287,FCER1G
phospholipids as signalling intermediaries(B),0.0029,31,1,0.4287,0.4287,PRKCB
Antifolate resistance(K),0.0029,31,1,0.4287,0.4287,IL1B
EGFR tyrosine kinase inhibitor resistance(K),0.0075,81,2,0.4296,0.4296,"PRKCB,PIK3R5"
FoxO signaling pathway(K),0.0123,134,3,0.4354,0.4354,"PIK3R5,PLK3,SOD2"
C-MYB transcription factor network(N),0.0075,82,2,0.4357,0.4357,"SPI1,PTGS2"
rho cell motility signaling pathway(B),0.0029,32,1,0.439,0.439,NCF2
Syndecan-2-mediated signaling events(N),0.0029,32,1,0.439,0.439,FN1
Noncanonical Wnt signaling pathway(N),0.0029,32,1,0.439,0.439,FLNA
Peroxisome(K),0.0076,83,2,0.4418,0.4418,"ACSL1,SOD2"
Fructose and mannose metabolism(K),0.003,33,1,0.449,0.449,PFKFB3
Smooth Muscle Contraction(R),0.003,33,1,0.449,0.449,DYSF
EPO signaling pathway(N),0.003,33,1,0.449,0.449,SOCS3
CXCR3-mediated signaling events(N),0.0032,35,1,0.4686,0.4686,CXCL13
Signaling mediated by p38-alpha and p38-beta(N),0.0032,35,1,0.4686,0.4686,PTGS2
Trk receptor signaling mediated by PI3K and PLC-gamma(N),0.0033,36,1,0.4782,0.4782,EGR1
Primary immunodeficiency(K),0.0034,37,1,0.4875,0.4875,PTPRC
rac1 cell motility signaling pathway(B),0.0034,37,1,0.4875,0.4875,NCF2
ErbB2/ErbB3 signaling events(N),0.0034,37,1,0.4875,0.4875,FOS
nfat and hypertrophy of the heart (B),0.0034,37,1,0.4875,0.4875,HBEGF
Morphine addiction(K),0.0084,91,2,0.4892,0.4892,"PRKCB,PDE4B"
RAF/MAP kinase cascade(R),0.0185,201,4,0.4914,0.4914,"EREG,HBEGF,CSF2RB,RASGRP4"
FGF signaling pathway(P),0.0085,92,2,0.4949,0.4949,"PRKCB,RAC2"
GnRH signaling pathway(K),0.0085,92,2,0.4949,0.4949,"PRKCB,HBEGF"
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P),0.0135,147,3,0.4955,0.4955,"RGS2,HRH2,RGS18"
Formation of Fibrin Clot (Clotting Cascade)(R),0.0036,39,1,0.5057,0.5057,THBD
Longevity regulating pathway(K),0.0087,94,2,0.5063,0.5063,"PIK3R5,SOD2"
Non-alcoholic fatty liver disease (NAFLD)(K),0.0139,151,3,0.5133,0.5133,"PIK3R5,IL1B,SOCS3"
IFN-gamma pathway(N),0.0037,40,1,0.5146,0.5146,IL1B
Oxidative stress response(P),0.0037,40,1,0.5146,0.5146,DUSP1
FOXM1 transcription factor network(N),0.0037,40,1,0.5146,0.5146,FOS
Circadian entrainment(K),0.0088,96,2,0.5175,0.5175,"PRKCB,FOS"
Graft-versus-host disease(K),0.0038,41,1,0.5233,0.5233,IL1B
mTOR signaling pathway(K),0.0142,154,3,0.5265,0.5265,"PRKCB,PIK3R5,SLC7A5"
Phosphatidylinositol signaling system(K),0.0091,99,2,0.5339,0.5339,"PRKCB,PIK3R5"
Type I diabetes mellitus(K),0.004,43,1,0.5403,0.5403,IL1B
PAR1-mediated thrombin signaling events(N),0.004,43,1,0.5403,0.5403,PRKCB
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds(R)",0.004,43,1,0.5403,0.5403,SLC11A1
Retrograde endocannabinoid signaling(K),0.0093,101,2,0.5447,0.5447,"PRKCB,PTGS2"
Fatty acid degradation(K),0.004,44,1,0.5485,0.5485,ACSL1
p53 pathway(P),0.004,44,1,0.5485,0.5485,THBS1
ABC transporters(K),0.0041,45,1,0.5566,0.5566,ABCA1
RhoA signaling pathway(N),0.0041,45,1,0.5566,0.5566,FOS
Ether lipid metabolism(K),0.0041,45,1,0.5566,0.5566,PLA2G7
Validated transcriptional targets of deltaNp63 isoforms(N),0.0041,45,1,0.5566,0.5566,KRT14
Presenilin action in Notch and Wnt signaling(N),0.0041,45,1,0.5566,0.5566,FOS
Neuroactive ligand-receptor interaction(K),0.0256,278,5,0.5643,0.5643,"C3AR1,FPR1,FPR2,C5AR1,HRH2"
TNF receptor signaling pathway(N),0.0042,46,1,0.5646,0.5646,TNFRSF1B
RET signaling(R),0.0204,222,4,0.5693,0.5693,"EREG,HBEGF,CSF2RB,RASGRP4"
Endocrine and other factor-regulated calcium reabsorption(K),0.0043,47,1,0.5724,0.5724,PRKCB
Amyloid fiber formation(R),0.0043,47,1,0.5724,0.5724,TGFBI
Apoptotic execution phase(R),0.0043,47,1,0.5724,0.5724,DSG3
Th17 cell differentiation(K),0.0098,107,2,0.576,0.576,"FOS,IL1B"
Fatty acid metabolism(K),0.0044,48,1,0.5801,0.5801,ACSL1
FoxO family signaling(N),0.0044,48,1,0.5801,0.5801,SOD2
cGMP-PKG signaling pathway(K),0.0155,168,3,0.5853,0.5853,"PIK3R5,RGS2,PPIF"
Cocaine addiction(K),0.0045,49,1,0.5876,0.5876,FOSB
Regulation of Androgen receptor activity(N),0.0045,49,1,0.5876,0.5876,EGR1
Validated transcriptional targets of TAp63 isoforms(N),0.0045,49,1,0.5876,0.5876,EGR2
Intestinal immune network for IgA production(K),0.0045,49,1,0.5876,0.5876,CXCR4
Ras signaling pathway(K),0.0211,229,4,0.5938,0.5938,"PRKCB,PIK3R5,RAC2,RASGRP4"
Alzheimer disease-presenilin pathway(P),0.0102,111,2,0.5959,0.5959,"MMP25,MMP9"
PIP3 activates AKT signaling(R),0.0102,111,2,0.5959,0.5959,"EREG,HBEGF"
Fc epsilon receptor (FCERI) signaling(R),0.0373,405,7,0.5982,0.5982,"EREG,FCER1G,FOS,HBEGF,CSF2RB,RASGRP4,LCP2"
NCAM signaling for neurite out-growth(R),0.0213,231,4,0.6007,0.6007,"EREG,HBEGF,CSF2RB,RASGRP4"
Signaling by SCF-KIT(R),0.0267,290,5,0.6018,0.6018,"EREG,HBEGF,CSF2RB,RASGRP4,MMP9"
Amyotrophic lateral sclerosis (ALS)(K),0.0047,51,1,0.6023,0.6023,TNFRSF1B
Metabolism of carbohydrates(R),0.0214,233,4,0.6075,0.6075,"CHST11,CHST15,PFKFB3,LUM"
Senescence-Associated Secretory Phenotype (SASP)(R),0.0048,52,1,0.6094,0.6094,FOS
Role of Calcineurin-dependent NFAT signaling in lymphocytes(N),0.0048,52,1,0.6094,0.6094,PRKCB
Endometrial cancer(K),0.0048,52,1,0.6094,0.6094,PIK3R5
mapkinase signaling pathway(B),0.0049,53,1,0.6164,0.6164,FOS
RAC1 signaling pathway(N),0.005,54,1,0.6233,0.6233,NCF2
ER to Golgi Anterograde Transport(R),0.0108,117,2,0.6245,0.6245,"SERPINA1,AREG"
Thyroid hormone signaling pathway(K),0.0109,118,2,0.6292,0.6292,"PRKCB,PIK3R5"
Signaling events mediated by HDAC Class I(N),0.0052,56,1,0.6367,0.6367,MXD1
Calcium signaling pathway(K),0.0167,182,3,0.6393,0.6393,"PRKCB,PPIF,HRH2"
Huntington disease(P),0.0111,121,2,0.6427,0.6427,"RAC2,FOS"
Lysosome(K),0.0113,123,2,0.6516,0.6516,"SLC11A1,LAPTM5"
AMPK signaling pathway(K),0.0114,124,2,0.6559,0.6559,"PIK3R5,PFKFB3"
Platelet homeostasis(R),0.0054,59,1,0.656,0.656,FGR
Glycerolipid metabolism(K),0.0054,59,1,0.656,0.656,DGAT2
PI Metabolism(R),0.0054,59,1,0.656,0.656,PIK3R5
Alzheimer disease-amyloid secretase pathway(P),0.0054,59,1,0.656,0.656,PRKCB
Signaling events mediated by focal adhesion kinase(N),0.0055,60,1,0.6622,0.6622,ITGA5
Long-term depression(K),0.0055,60,1,0.6622,0.6622,PRKCB
Parkinson disease(P),0.0056,61,1,0.6682,0.6682,HSPA6
Opioid Signalling(R),0.0057,62,1,0.6742,0.6742,PDE4B
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R),0.0235,255,4,0.6773,0.6773,"EREG,HBEGF,CSF2RB,RASGRP4"
Signaling events mediated by VEGFR1 and VEGFR2(N),0.0058,63,1,0.6801,0.6801,PRKCB
Ras Pathway(P),0.0058,63,1,0.6801,0.6801,RAC2
Dopaminergic synapse(K),0.012,130,2,0.6811,0.6811,"PRKCB,FOS"
"Fatty acid, triacylglycerol, and ketone body metabolism(R)",0.0179,195,3,0.6848,0.6848,"ACSL1,ABCA1,DGAT2"
Regulation of retinoblastoma protein(N),0.0059,64,1,0.6858,0.6858,SPI1
Shigellosis(K),0.006,65,1,0.6915,0.6915,ITGA5
Hepatitis C(K),0.0122,133,2,0.6932,0.6932,"PIK3R5,SOCS3"
Systemic lupus erythematosus(K),0.0122,133,2,0.6932,0.6932,"FCGR3A,FCGR2A"
Oxidative Stress Induced Senescence(R),0.0061,66,1,0.697,0.697,FOS
Mitotic Prophase(R),0.0061,66,1,0.697,0.697,PRKCB
Activation of anterior HOX genes in hindbrain development during early embryogenesis(R),0.0061,66,1,0.697,0.697,EGR2
Angiogenesis(P),0.0061,66,1,0.697,0.697,FOS
Long-term potentiation(K),0.0062,67,1,0.7024,0.7024,PRKCB
Renal cell carcinoma(K),0.0062,67,1,0.7024,0.7024,PIK3R5
Cytosolic sensors of pathogen-associated DNA (R),0.0062,67,1,0.7024,0.7024,S100A12
Viral carcinogenesis(K),0.0187,203,3,0.7107,0.7107,"PIK3R5,EGR2,EGR3"
p53 signaling pathway(K),0.0063,69,1,0.7131,0.7131,THBS1
E2F transcription factor network(N),0.0063,69,1,0.7131,0.7131,PLAU
RNA polymerase II transcribes snRNA genes(R),0.0064,70,1,0.7182,0.7182,NABP1
Glycerophospholipid biosynthesis(R),0.0064,70,1,0.7182,0.7182,DGAT2
Cell junction organization(R),0.0064,70,1,0.7182,0.7182,FLNA
Insulin signaling pathway(K),0.0129,140,2,0.7198,0.7198,"PIK3R5,SOCS3"
Melanoma(K),0.0065,71,1,0.7233,0.7233,PIK3R5
Adherens junction(K),0.0066,72,1,0.7283,0.7283,RAC2
Wnt signaling pathway(K),0.0132,143,2,0.7306,0.7306,"PRKCB,RAC2"
Signaling by TGF-beta Receptor Complex(R),0.0067,73,1,0.7332,0.7332,JUNB
Interferon gamma signaling(R),0.0067,73,1,0.7332,0.7332,SOCS3
Chronic myeloid leukemia(K),0.0067,73,1,0.7332,0.7332,PIK3R5
Thyroid hormone synthesis(K),0.0068,74,1,0.738,0.738,PRKCB
Signaling by Insulin receptor(R),0.0255,277,4,0.738,0.738,"EREG,HBEGF,CSF2RB,RASGRP4"
Breast cancer(K),0.0134,146,2,0.7411,0.7411,"PIK3R5,FOS"
O-linked glycosylation(R),0.0069,75,1,0.7427,0.7427,THBS1
Platinum drug resistance(K),0.0069,75,1,0.7427,0.7427,PIK3R5
Validated targets of C-MYC transcriptional activation(N),0.0069,75,1,0.7427,0.7427,MMP9
Phase 1 - Functionalization of compounds(R),0.007,76,1,0.7473,0.7473,TBXAS1
Antigen processing and presentation(K),0.0071,77,1,0.7519,0.7519,HSPA6
RNA degradation(K),0.0071,77,1,0.7519,0.7519,BTG2
RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways(R),0.0071,77,1,0.7519,0.7519,S100A12
Regulation of nuclear SMAD2/3 signaling(N),0.0071,77,1,0.7519,0.7519,FOS
Cellular response to heat stress(R),0.0072,78,1,0.7563,0.7563,HSPB8
TGF-beta signaling pathway(P),0.0074,80,1,0.765,0.765,JUNB
Regulation of nuclear beta catenin signaling and target gene transcription(N),0.0074,80,1,0.765,0.765,MMP9
Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)(N),0.0074,80,1,0.765,0.765,EGR1
Hippo signaling pathway(K),0.0142,154,2,0.7673,0.7673,"AREG,ITGB2"
Chemical carcinogenesis(K),0.0075,82,1,0.7734,0.7734,PTGS2
Aldosterone synthesis and secretion(K),0.0075,82,1,0.7734,0.7734,PRKCB
L1CAM interactions(R),0.0075,82,1,0.7734,0.7734,ITGA5
Hypertrophic cardiomyopathy (HCM)(K),0.0076,83,1,0.7775,0.7775,ITGA5
TGF-beta signaling pathway(K),0.0077,84,1,0.7815,0.7815,THBS1
Transcriptional regulation of white adipocyte differentiation(R),0.0077,84,1,0.7815,0.7815,EGR2
Insulin secretion(K),0.0078,85,1,0.7854,0.7854,PRKCB
Regulation of mRNA stability by proteins that bind AU-rich elements(R),0.008,87,1,0.7931,0.7931,ZFP36
GABAergic synapse(K),0.0081,88,1,0.7968,0.7968,PRKCB
Gap junction(K),0.0081,88,1,0.7968,0.7968,PRKCB
Prostate cancer(K),0.0082,89,1,0.8005,0.8005,PIK3R5
EPH-Ephrin signaling(R),0.0082,89,1,0.8005,0.8005,MMP9
Dilated cardiomyopathy(K),0.0083,90,1,0.8041,0.8041,ITGA5
Protein digestion and absorption(K),0.0083,90,1,0.8041,0.8041,MME
Salivary secretion(K),0.0083,90,1,0.8041,0.8041,PRKCB
"Lipid digestion, mobilization, and transport(R)",0.0084,91,1,0.8076,0.8076,ABCA1
Th1 and Th2 cell differentiation(K),0.0085,92,1,0.8111,0.8111,FOS
Alzheimer's disease(K),0.0157,171,2,0.8154,0.8154,"MME,IL1B"
Pancreatic secretion(K),0.0088,96,1,0.8243,0.8243,PRKCB
Signaling by EGFR(R),0.0292,317,4,0.8259,0.8259,"EREG,HBEGF,CSF2RB,RASGRP4"
Progesterone-mediated oocyte maturation(K),0.009,98,1,0.8306,0.8306,PIK3R5
TNFR2 non-canonical NF-kB pathway(R),0.0093,101,1,0.8396,0.8396,TNFRSF1B
Melanogenesis(K),0.0093,101,1,0.8396,0.8396,PRKCB
Huntington's disease(K),0.0178,193,2,0.8645,0.8645,"PPIF,SOD2"
Signaling by the B Cell Receptor (BCR)(R),0.0248,270,3,0.8672,0.8672,"PRKCB,EREG,HBEGF"
Glutamatergic synapse(K),0.0105,114,1,0.8734,0.8734,PRKCB
Signalling by NGF(R),0.0387,421,5,0.8795,0.8795,"PREX1,EREG,HBEGF,CSF2RB,RASGRP4"
Generic Transcription Pathway(R),0.0455,494,6,0.8844,0.8844,"JUNB,PLK3,BTG2,FOS,TNFRSF10C,NR4A3"
Neurotrophin signaling pathway(K),0.0111,121,1,0.8886,0.8886,PIK3R5
Vascular smooth muscle contraction(K),0.0111,121,1,0.8886,0.8886,PRKCB
Asparagine N-linked glycosylation(R),0.0202,219,2,0.907,0.907,"SERPINA1,AREG"
Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell(R),0.0123,134,1,0.9121,0.9121,PRKCB
Spliceosome(K),0.0123,134,1,0.9121,0.9121,HSPA6
Tight junction(K),0.0126,137,1,0.9168,0.9168,PRKCB
Ubiquitin mediated proteolysis(K),0.0126,137,1,0.9168,0.9168,SOCS3
Intra-Golgi and retrograde Golgi-to-ER traffic(R),0.013,141,1,0.9227,0.9227,CYTH4
Parkinson's disease(K),0.0131,142,1,0.9241,0.9241,PPIF
Signaling pathways regulating pluripotency of stem cells(K),0.0131,142,1,0.9241,0.9241,PIK3R5
Adrenergic signaling in cardiomyocytes(K),0.0137,149,1,0.9332,0.9332,PIK3R5
Protein processing in endoplasmic reticulum(K),0.0152,165,1,0.9502,0.9502,HSPA6
Ion channel transport(R),0.0156,169,1,0.9537,0.9537,BEST1
Purine metabolism(K),0.0161,175,1,0.9585,0.9585,PDE4B
Alcoholism(K),0.0166,180,1,0.9621,0.9621,FOSB
Deubiquitination(R),0.0208,226,1,0.9837,0.9837,NLRP3
Wnt signaling pathway(P),0.0247,268,1,0.9925,0.9925,PRKCB
Olfactory transduction(K),0.0385,418,2,0.9959,0.9959,"OR2J3,RGS2"
Metabolic pathways(K),0.1165,1266,7,1,1,"NAMPT,ACSL1,PLA2G7,PTGS2,ALOX5,DGAT2,TBXAS1"
