Gene Set,Ratio of Protein In Gene Set,Number of Protein in Gene Set,Protein From Network,P-value,FDR,Nodes
Nongenotropic Androgen signaling(N),0.0023,25,1,0.2291,0.2291,MAPK3
ras-independent pathway in nk cell-mediated cytotoxicity(B),0.0023,25,1,0.2291,0.2291,MAPK3
fc epsilon receptor i signaling in mast cells(B),0.0023,25,1,0.2291,0.2291,MAPK3
Glypican 1 network(N),0.0023,25,1,0.2291,0.2291,FLT1
tpo signaling pathway(B),0.0023,25,1,0.2291,0.2291,MAPK3
Pathways in cancer(K),0.0365,397,6,0.2326,0.2326,"SPI1,TGFA,CSF2RA,RASGRP4,MMP9,MAPK3"
ErbB signaling pathway(K),0.0081,88,2,0.2329,0.2329,"TGFA,MAPK3"
Signaling by EGFR(R),0.0292,317,5,0.2348,0.2348,"IRS2,CSF2RA,RASGRP4,RASGEF1A,MAPK3"
Prostate cancer(K),0.0082,89,2,0.2367,0.2367,"TGFA,MAPK3"
bcr signaling pathway(B),0.0024,26,1,0.2371,0.2371,MAPK3
mcalpain and friends in cell motility(B),0.0024,26,1,0.2371,0.2371,MAPK3
IL3-mediated signaling events(N),0.0024,26,1,0.2371,0.2371,OSM
bioactive peptide induced signaling pathway(B),0.0024,26,1,0.2371,0.2371,MAPK3
RXR and RAR heterodimerization with other nuclear receptor(N),0.0024,26,1,0.2371,0.2371,ABCA1
multi-step regulation of transcription by pitx2(B),0.0024,26,1,0.2371,0.2371,MAPK3
pdgf signaling pathway(B),0.0024,26,1,0.2371,0.2371,MAPK3
PI3 kinase pathway(P),0.0024,26,1,0.2371,0.2371,GADD45A
ALK1 signaling events(N),0.0024,26,1,0.2371,0.2371,MAPK3
Protein digestion and absorption(K),0.0083,90,2,0.2406,0.2406,"SLC8A1,COL9A2"
Rheumatoid arthritis(K),0.0083,90,2,0.2406,0.2406,"FLT1,TLR2"
Glycosphingolipid biosynthesis - lacto and neolacto series(K),0.0025,27,1,0.2451,0.2451,B3GNT5
DAP12 interactions(R),0.0297,323,5,0.2464,0.2464,"IRS2,CSF2RA,RASGRP4,RASGEF1A,MAPK3"
FGF signaling pathway(P),0.0085,92,2,0.2482,0.2482,"MAPK3,MAPK14"
Th1 and Th2 cell differentiation(K),0.0085,92,2,0.2482,0.2482,"MAPK3,MAPK14"
GnRH signaling pathway(K),0.0085,92,2,0.2482,0.2482,"MAPK3,MAPK14"
role of ÃŸ-arrestins in the activation and targeting of map kinases(B),0.0026,28,1,0.2529,0.2529,MAPK3
role of erbb2 in signal transduction and oncology(B),0.0026,28,1,0.2529,0.2529,MAPK3
Wnt signaling network(N),0.0026,28,1,0.2529,0.2529,KREMEN1
vegf hypoxia and angiogenesis(B),0.0026,28,1,0.2529,0.2529,MAPK3
ErbB4 signaling events(N),0.0026,28,1,0.2529,0.2529,MAPK3
EGF receptor (ErbB1) signaling pathway(N),0.0027,29,1,0.2606,0.2606,MAPK3
Thyroid cancer(K),0.0027,29,1,0.2606,0.2606,MAPK3
CD40/CD40L signaling(N),0.0027,29,1,0.2606,0.2606,MAPK14
hiv-1 nef: negative effector of fas and tnf(B),0.0028,30,1,0.2683,0.2683,MAPK3
erk and pi-3 kinase are necessary for collagen binding in corneal epithelia(B),0.0028,30,1,0.2683,0.2683,MAPK3
ceramide signaling pathway(B),0.0028,30,1,0.2683,0.2683,MAPK3
wnt signaling pathway(B),0.0028,30,1,0.2683,0.2683,MAPK3
Progesterone-mediated oocyte maturation(K),0.009,98,2,0.2713,0.2713,"MAPK3,MAPK14"
Influenza A(K),0.0161,175,3,0.2743,0.2743,"SOCS3,MAPK3,MAPK14"
Inflammatory mediator regulation of TRP channels(K),0.0091,99,2,0.2751,0.2751,"IL1R1,MAPK14"
Regulation of p38-alpha and p38-beta(N),0.0029,31,1,0.2759,0.2759,MAPK14
Aurora A signaling(N),0.0029,31,1,0.2759,0.2759,GADD45A
Galactose metabolism(K),0.0029,31,1,0.2759,0.2759,HK3
amb2 Integrin signaling(N),0.0029,31,1,0.2759,0.2759,MMP9
phospholipids as signalling intermediaries(B),0.0029,31,1,0.2759,0.2759,MAPK3
Mucin type O-glycan biosynthesis(K),0.0029,31,1,0.2759,0.2759,B4GALT5
p38 mapk signaling pathway(B),0.0029,31,1,0.2759,0.2759,MAPK3
role of egf receptor transactivation by gpcrs in cardiac hypertrophy(B),0.0029,31,1,0.2759,0.2759,MAPK3
trefoil factors initiate mucosal healing(B),0.0029,31,1,0.2759,0.2759,MAPK3
Axon guidance(K),0.0163,177,3,0.2799,0.2799,"NTNG2,SSH2,MAPK3"
HTLV-I infection(K),0.0237,258,4,0.2813,0.2813,"SPI1,ETS2,IL1R1,IL1R2"
PI3K-Akt signaling pathway(K),0.0314,341,5,0.2818,0.2818,"COL9A2,FLT1,TLR2,MAPK3,OSM"
AGE-RAGE signaling pathway in diabetic complications(K),0.0093,101,2,0.2828,0.2828,"MAPK3,MAPK14"
Retrograde endocannabinoid signaling(K),0.0093,101,2,0.2828,0.2828,"MAPK3,MAPK14"
rho cell motility signaling pathway(B),0.0029,32,1,0.2834,0.2834,MAPK3
HIF-2-alpha transcription factor network(N),0.0029,32,1,0.2834,0.2834,FLT1
Syndecan-4-mediated signaling events(N),0.0029,32,1,0.2834,0.2834,MMP9
"ROS, RNS production in phagocytes(R)",0.0029,32,1,0.2834,0.2834,SLC11A1
roles of ÃŸ arrestin dependent recruitment of src kinases in gpcr signaling(B),0.0029,32,1,0.2834,0.2834,MAPK3
FAS (CD95) signaling pathway(N),0.0029,32,1,0.2834,0.2834,MAPK14
Netrin-mediated signaling events(N),0.0029,32,1,0.2834,0.2834,MAPK3
Syndecan-2-mediated signaling events(N),0.0029,32,1,0.2834,0.2834,MAPK3
Endocytosis(K),0.0239,260,4,0.2859,0.2859,"SH3GLB1,RAB5C,FLT1,WAS"
integrin signaling pathway(B),0.003,33,1,0.2908,0.2908,MAPK3
Smooth Muscle Contraction(R),0.003,33,1,0.2908,0.2908,DYSF
angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling(B),0.003,33,1,0.2908,0.2908,MAPK3
T cell receptor signaling pathway(K),0.0097,105,2,0.2981,0.2981,"MAPK3,MAPK14"
actions of nitric oxide in the heart(B),0.0031,34,1,0.2982,0.2982,MAPK3
Prion diseases(K),0.0032,35,1,0.3055,0.3055,MAPK3
IL2 signaling events mediated by PI3K(N),0.0032,35,1,0.3055,0.3055,UGCG
Cardiac conduction(R),0.0098,107,2,0.3058,0.3058,"SLC8A1,ASPH"
Chemokine signaling pathway(K),0.0172,187,3,0.3082,0.3082,"CXCL16,WAS,MAPK3"
mechanism of gene regulation by peroxisome proliferators via ppara(B),0.0033,36,1,0.3127,0.3127,MAPK3
Class I MHC mediated antigen processing & presentation(R),0.0174,189,3,0.3138,0.3138,"LY96,FBXL5,TLR2"
Validated transcriptional targets of AP1 family members Fra1 and Fra2(N),0.0034,37,1,0.3198,0.3198,MMP9
rac1 cell motility signaling pathway(B),0.0034,37,1,0.3198,0.3198,MAPK3
ErbB2/ErbB3 signaling events(N),0.0034,37,1,0.3198,0.3198,MAPK3
nfat and hypertrophy of the heart (B),0.0034,37,1,0.3198,0.3198,MAPK3
PIP3 activates AKT signaling(R),0.0102,111,2,0.3211,0.3211,"IRS2,MAPK3"
EPHB forward signaling(N),0.0035,38,1,0.3269,0.3269,MAPK3
Serotonergic synapse(K),0.0104,113,2,0.3287,0.3287,"SLC18A2,MAPK3"
Aldosterone-regulated sodium reabsorption(K),0.0036,39,1,0.3339,0.3339,MAPK3
Formation of Fibrin Clot (Clotting Cascade)(R),0.0036,39,1,0.3339,0.3339,F5
Leukocyte transendothelial migration(K),0.0107,116,2,0.34,0.34,"MMP9,MAPK14"
IFN-gamma pathway(N),0.0037,40,1,0.3408,0.3408,MAPK3
Signaling by FGFR3(R),0.0037,40,1,0.3408,0.3408,MAPK3
FOXM1 transcription factor network(N),0.0037,40,1,0.3408,0.3408,TGFA
Thyroid hormone signaling pathway(K),0.0109,118,2,0.3476,0.3476,"PFKFB2,MAPK3"
Signaling by FGFR4(R),0.0038,41,1,0.3476,0.3476,MAPK3
Fat digestion and absorption(K),0.0038,41,1,0.3476,0.3476,ABCA1
Stabilization and expansion of the E-cadherin adherens junction(N),0.0039,42,1,0.3544,0.3544,ZYX
TBC/RABGAPs(R),0.0039,42,1,0.3544,0.3544,RAB5C
Plasma membrane estrogen receptor signaling(N),0.0039,42,1,0.3544,0.3544,MMP9
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling(N),0.0039,42,1,0.3544,0.3544,MMP9
PDGFR-beta signaling pathway(N),0.011,120,2,0.3551,0.3551,"GRB10,MAPK3"
Sphingolipid signaling pathway(K),0.011,120,2,0.3551,0.3551,"MAPK3,MAPK14"
Vascular smooth muscle contraction(K),0.0111,121,2,0.3588,0.3588,"MRVI1,MAPK3"
ion channels and their functional role in vascular endothelium(B),0.004,43,1,0.3611,0.3611,MAPK3
PAR1-mediated thrombin signaling events(N),0.004,43,1,0.3611,0.3611,ZYX
Platelet activation(K),0.0112,122,2,0.3626,0.3626,"MAPK3,MAPK14"
Lysosome(K),0.0113,123,2,0.3663,0.3663,"SLC11A1,SORT1"
Fatty acid degradation(K),0.004,44,1,0.3677,0.3677,ACSL1
p53 pathway(P),0.004,44,1,0.3677,0.3677,GADD45A
Vasopressin-regulated water reabsorption(K),0.004,44,1,0.3677,0.3677,RAB5C
Hexose transport(R),0.0041,45,1,0.3743,0.3743,HK3
ABC transporters(K),0.0041,45,1,0.3743,0.3743,ABCA1
Integrin-linked kinase signaling(N),0.0041,45,1,0.3743,0.3743,ZYX
agrin in postsynaptic differentiation(B),0.0041,45,1,0.3743,0.3743,MAPK3
Presenilin action in Notch and Wnt signaling(N),0.0041,45,1,0.3743,0.3743,MAPK3
Insulin Pathway(N),0.0041,45,1,0.3743,0.3743,GRB10
Carbohydrate digestion and absorption(K),0.0042,46,1,0.3808,0.3808,HK3
Drug metabolism - other enzymes(K),0.0042,46,1,0.3808,0.3808,UPP1
Regulation of actin cytoskeleton(K),0.0197,214,3,0.3846,0.3846,"SSH2,WAS,MAPK3"
Integrins in angiogenesis(N),0.0043,47,1,0.3872,0.3872,MAPK3
Endocrine and other factor-regulated calcium reabsorption(K),0.0043,47,1,0.3872,0.3872,SLC8A1
Amyloid fiber formation(R),0.0043,47,1,0.3872,0.3872,LTF
Sphingolipid metabolism(K),0.0043,47,1,0.3872,0.3872,UGCG
Dopaminergic synapse(K),0.012,130,2,0.3922,0.3922,"SLC18A2,MAPK14"
Hedgehog signaling events mediated by Gli proteins(N),0.0044,48,1,0.3936,0.3936,SAP30
Ceramide signaling pathway(N),0.0044,48,1,0.3936,0.3936,MAPK3
Fatty acid metabolism(K),0.0044,48,1,0.3936,0.3936,ACSL1
Amino sugar and nucleotide sugar metabolism(K),0.0044,48,1,0.3936,0.3936,HK3
Metabolism of nucleotides(R),0.0044,48,1,0.3936,0.3936,UPP1
t cell receptor signaling pathway(B),0.0044,48,1,0.3936,0.3936,MAPK3
FoxO family signaling(N),0.0044,48,1,0.3936,0.3936,GADD45A
GPVI-mediated activation cascade(R),0.0045,49,1,0.3999,0.3999,CSF2RA
Signaling by FGFR1(R),0.0045,49,1,0.3999,0.3999,MAPK3
Cocaine addiction(K),0.0045,49,1,0.3999,0.3999,SLC18A2
NoRC negatively regulates rRNA expression(R),0.0045,49,1,0.3999,0.3999,SAP30
Regulation of Androgen receptor activity(N),0.0045,49,1,0.3999,0.3999,MAPK14
Validated transcriptional targets of TAp63 isoforms(N),0.0045,49,1,0.3999,0.3999,GADD45A
Malaria(K),0.0045,49,1,0.3999,0.3999,TLR2
Interactions of neurexins and neuroligins at synapses(R),0.0046,50,1,0.4061,0.4061,LIN7A
Arginine and proline metabolism(K),0.0046,50,1,0.4061,0.4061,ARG1
Amyotrophic lateral sclerosis (ALS)(K),0.0047,51,1,0.4123,0.4123,MAPK14
Fc epsilon receptor (FCERI) signaling(R),0.0373,405,5,0.4131,0.4131,"IRS2,CSF2RA,RASGRP4,RASGEF1A,MAPK3"
Senescence-Associated Secretory Phenotype (SASP)(R),0.0048,52,1,0.4184,0.4184,MAPK3
Mitochondrial biogenesis(R),0.0048,52,1,0.4184,0.4184,MAPK14
Signaling events mediated by PTP1B(N),0.0048,52,1,0.4184,0.4184,SOCS3
Endometrial cancer(K),0.0048,52,1,0.4184,0.4184,MAPK3
Thromboxane A2 receptor signaling(N),0.005,54,1,0.4305,0.4305,MAPK14
RAC1 signaling pathway(N),0.005,54,1,0.4305,0.4305,MAPK14
Parkinson's disease(K),0.0131,142,2,0.4354,0.4354,"UBE2J1,SLC18A2"
Signaling pathways regulating pluripotency of stem cells(K),0.0131,142,2,0.4354,0.4354,"MAPK3,MAPK14"
Interleukin signaling pathway(P),0.0051,55,1,0.4364,0.4364,SPI1
Transport of inorganic cations/anions and amino acids/oligopeptides(R),0.0051,55,1,0.4364,0.4364,SLC8A1
Endothelin signaling pathway(P),0.0051,55,1,0.4364,0.4364,MAPK3
Regulation of lipolysis in adipocytes(K),0.0052,56,1,0.4422,0.4422,IRS2
Signaling events mediated by HDAC Class I(N),0.0052,56,1,0.4422,0.4422,SAP30
p53 pathway(N),0.0052,57,1,0.448,0.448,MAPK14
Protein ubiquitination(R),0.0053,58,1,0.4538,0.4538,UBE2R2
PI Metabolism(R),0.0054,59,1,0.4595,0.4595,BMX
Signaling events mediated by focal adhesion kinase(N),0.0055,60,1,0.4651,0.4651,BMX
Long-term depression(K),0.0055,60,1,0.4651,0.4651,MAPK3
Neurotrophic factor-mediated Trk receptor signaling(N),0.0055,60,1,0.4651,0.4651,MAPK3
Coregulation of Androgen receptor activity(N),0.0055,60,1,0.4651,0.4651,MAK
Non-alcoholic fatty liver disease (NAFLD)(K),0.0139,151,2,0.4667,0.4667,"IRS2,SOCS3"
Signaling by PTK6(R),0.0056,61,1,0.4706,0.4706,SOCS3
Parkinson disease(P),0.0056,61,1,0.4706,0.4706,MAPK3
Fc-epsilon receptor I signaling in mast cells(N),0.0057,62,1,0.4762,0.4762,MAPK3
Colorectal cancer(K),0.0057,62,1,0.4762,0.4762,MAPK3
Phagosome(K),0.0142,154,2,0.4769,0.4769,"RAB5C,TLR2"
mTOR signaling pathway(K),0.0142,154,2,0.4769,0.4769,"GRB10,MAPK3"
LPA receptor mediated events(N),0.0058,63,1,0.4816,0.4816,MMP9
Synaptic vesicle cycle(K),0.0058,63,1,0.4816,0.4816,SLC18A2
Downstream signaling in naïve CD8+ T cells(N),0.0059,64,1,0.487,0.487,MAPK3
Longevity regulating pathway - multiple species(K),0.0059,64,1,0.487,0.487,IRS2
mTOR signaling pathway(N),0.0059,64,1,0.487,0.487,MAPK3
Integrin signalling pathway(P),0.0145,158,2,0.4903,0.4903,"COL9A2,MAPK3"
Fcgamma receptor (FCGR) dependent phagocytosis(R),0.0146,159,2,0.4937,0.4937,"WAS,MAPK3"
Extracellular matrix organization(R),0.0235,255,3,0.4964,0.4964,"COL9A2,MMP9,CEACAM8"
Circadian Clock(R),0.0062,67,1,0.5028,0.5028,NFIL3
Long-term potentiation(K),0.0062,67,1,0.5028,0.5028,MAPK3
TCR signaling in naïve CD4+ T cells(N),0.0062,67,1,0.5028,0.5028,WAS
ISG15 antiviral mechanism(R),0.0062,67,1,0.5028,0.5028,MAPK3
Cytosolic sensors of pathogen-associated DNA (R),0.0062,67,1,0.5028,0.5028,S100A12
Glycolysis / Gluconeogenesis(K),0.0062,67,1,0.5028,0.5028,HK3
Interferon alpha/beta signaling(R),0.0063,68,1,0.508,0.508,SOCS3
Epithelial cell signaling in Helicobacter pylori infection(K),0.0063,68,1,0.508,0.508,MAPK14
Amphetamine addiction(K),0.0063,68,1,0.508,0.508,SLC18A2
p75(NTR)-mediated signaling(N),0.0063,69,1,0.5131,0.5131,SORT1
p53 signaling pathway(K),0.0063,69,1,0.5131,0.5131,GADD45A
Metabolism of polyamines(R),0.0063,69,1,0.5131,0.5131,ARG1
Protein processing in endoplasmic reticulum(K),0.0152,165,2,0.5133,0.5133,"UBE2J1,CKAP4"
AP-1 transcription factor network(N),0.0064,70,1,0.5182,0.5182,MMP9
RIG-I-like receptor signaling pathway(K),0.0064,70,1,0.5182,0.5182,MAPK14
Signaling by FGFR2(R),0.0065,71,1,0.5232,0.5232,MAPK3
Melanoma(K),0.0065,71,1,0.5232,0.5232,MAPK3
Sphingolipid metabolism(R),0.0065,71,1,0.5232,0.5232,UGCG
Inflammation mediated by chemokine and cytokine signaling pathway(P),0.0065,71,1,0.5232,0.5232,SOCS3
PPAR signaling pathway(K),0.0066,72,1,0.5282,0.5282,ACSL1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)(K),0.0066,72,1,0.5282,0.5282,SLC8A1
B cell receptor signaling pathway(K),0.0067,73,1,0.5331,0.5331,MAPK3
Interferon gamma signaling(R),0.0067,73,1,0.5331,0.5331,SOCS3
Chronic myeloid leukemia(K),0.0067,73,1,0.5331,0.5331,MAPK3
Platinum drug resistance(K),0.0069,75,1,0.5428,0.5428,MAPK3
Validated targets of C-MYC transcriptional activation(N),0.0069,75,1,0.5428,0.5428,MMP9
Biosynthesis of amino acids(K),0.0069,75,1,0.5428,0.5428,ARG1
p73 transcription factor network(N),0.0069,75,1,0.5428,0.5428,MAPK14
Regulation of nuclear SMAD2/3 signaling(N),0.0071,77,1,0.5523,0.5523,SAP30
RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways(R),0.0071,77,1,0.5523,0.5523,S100A12
Cardiac muscle contraction(K),0.0072,78,1,0.5569,0.5569,SLC8A1
Cellular response to heat stress(R),0.0072,78,1,0.5569,0.5569,MAPK3
Bacterial invasion of epithelial cells(K),0.0072,78,1,0.5569,0.5569,WAS
Alcoholism(K),0.0166,180,2,0.5603,0.5603,"SLC18A2,MAPK3"
Regulation of nuclear beta catenin signaling and target gene transcription(N),0.0074,80,1,0.5661,0.5661,MMP9
CXCR4-mediated signaling events(N),0.0074,80,1,0.5661,0.5661,MMP9
Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)(N),0.0074,80,1,0.5661,0.5661,MAPK3
ECM-receptor interaction(K),0.0075,82,1,0.5751,0.5751,COL9A2
Peroxisome(K),0.0076,83,1,0.5795,0.5795,ACSL1
Hypertrophic cardiomyopathy (HCM)(K),0.0076,83,1,0.5795,0.5795,SLC8A1
TGF-beta signaling pathway(K),0.0077,84,1,0.5839,0.5839,MAPK3
Generic Transcription Pathway(R),0.0455,494,5,0.5877,0.5877,"G6PD,TGFA,NRBF2,GADD45A,MAPK14"
GPCR ligand binding(R),0.0363,395,4,0.5911,0.5911,"CXCL16,PROK2,ADM,LTB4R"
Gap junction(K),0.0081,88,1,0.601,0.601,MAPK3
"RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription(R)",0.0081,88,1,0.601,0.601,MAPK3
"Fatty acid, triacylglycerol, and ketone body metabolism(R)",0.0179,195,2,0.6039,0.6039,"ACSL1,ABCA1"
MicroRNAs in cancer(K),0.0275,299,3,0.6042,0.6042,"IRS2,MMP9,MARCKS"
EPH-Ephrin signaling(R),0.0082,89,1,0.6052,0.6052,MMP9
MAPK6/MAPK4 signaling(R),0.0082,89,1,0.6052,0.6052,CDC42EP3
Dilated cardiomyopathy(K),0.0083,90,1,0.6093,0.6093,SLC8A1
Salivary secretion(K),0.0083,90,1,0.6093,0.6093,CAMP
"Lipid digestion, mobilization, and transport(R)",0.0084,91,1,0.6134,0.6134,ABCA1
Integration of energy metabolism(R),0.0085,92,1,0.6174,0.6174,MARCKS
Longevity regulating pathway(K),0.0087,94,1,0.6253,0.6253,IRS2
Epstein-Barr virus infection(K),0.0188,204,2,0.6285,0.6285,"SPI1,MAPK14"
Circadian entrainment(K),0.0088,96,1,0.6331,0.6331,MAPK3
Chromatin modifying enzymes(R),0.019,206,2,0.6338,0.6338,"SAP30,PADI4"
ErbB1 downstream signaling(N),0.0092,100,1,0.6482,0.6482,MAPK3
Melanogenesis(K),0.0093,101,1,0.6519,0.6519,MAPK3
Glucagon signaling pathway(K),0.0095,103,1,0.6591,0.6591,PYGL
Pyrimidine metabolism(K),0.0097,105,1,0.6662,0.6662,UPP1
SUMOylation(R),0.0098,106,1,0.6697,0.6697,PHC2
Response to elevated platelet cytosolic Ca2+(R),0.0098,106,1,0.6697,0.6697,F5
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway(P),0.0099,108,1,0.6765,0.6765,RASGRP4
Factors involved in megakaryocyte development and platelet production(R),0.0101,110,1,0.6833,0.6833,NFE2
Alzheimer disease-presenilin pathway(P),0.0102,111,1,0.6866,0.6866,MMP9
Cholinergic synapse(K),0.0102,111,1,0.6866,0.6866,MAPK3
Glutamatergic synapse(K),0.0105,114,1,0.6963,0.6963,MAPK3
Clathrin-mediated endocytosis(R),0.0108,117,1,0.7057,0.7057,REPS2
TCR signaling(R),0.0113,123,1,0.7237,0.7237,WAS
Binding and Uptake of Ligands by Scavenger Receptors(R),0.0114,124,1,0.7266,0.7266,CD163
Cell cycle(K),0.0114,124,1,0.7266,0.7266,GADD45A
Oocyte meiosis(K),0.0114,124,1,0.7266,0.7266,MAPK3
Complement cascade(R),0.0117,127,1,0.7351,0.7351,CD59
Natural killer cell mediated cytotoxicity(K),0.0124,135,1,0.7565,0.7565,MAPK3
Measles(K),0.0125,136,1,0.759,0.759,TLR2
Intra-Golgi and retrograde Golgi-to-ER traffic(R),0.013,141,1,0.7714,0.7714,RAB43
Signaling by the B Cell Receptor (BCR)(R),0.0248,270,2,0.7741,0.7741,"IRS2,MAPK3"
Phospholipase D signaling pathway(K),0.0133,144,1,0.7785,0.7785,MAPK3
Cell adhesion molecules (CAMs)(K),0.0133,145,1,0.7808,0.7808,NTNG2
Breast cancer(K),0.0134,146,1,0.7831,0.7831,MAPK3
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P),0.0135,147,1,0.7854,0.7854,PYGL
Oxytocin signaling pathway(K),0.0146,159,1,0.8109,0.8109,MAPK3
Ion channel transport(R),0.0156,169,1,0.8299,0.8299,ASPH
Alzheimer's disease(K),0.0157,171,1,0.8334,0.8334,MAPK3
Calcium signaling pathway(K),0.0167,182,1,0.8517,0.8517,SLC8A1
Metabolic pathways(K),0.1165,1266,10,0.8607,0.8607,"G6PD,ACSL1,PGD,UGCG,ALPL,PYGL,HK3,UPP1,ARG1,B3GNT5"
Signaling by Rho GTPases(R),0.0304,330,2,0.8608,0.8608,"WAS,MAPK3"
cAMP signaling pathway(K),0.0184,200,1,0.8774,0.8774,MAPK3
Viral carcinogenesis(K),0.0187,203,1,0.8813,0.8813,MAPK3
Cell surface interactions at the vascular wall(R),0.0191,208,1,0.8874,0.8874,CEACAM8
GPCR downstream signaling(R),0.0842,915,6,0.9214,0.9214,"CXCL16,PROK2,CSF2RA,GPR27,ADM,LTB4R"
Neuroactive ligand-receptor interaction(K),0.0256,278,1,0.9465,0.9465,LTB4R
Olfactory transduction(K),0.0385,418,1,0.9881,0.9881,SLC8A1
